n time
8412 2.09615
8422 1.96784
8432 1.97524
8442 1.9027
8452 1.88173
8462 1.92708
8472 1.90771
8482 1.93949
8492 1.84418
8502 2.60993
8512 1.32523
8522 2.05241
8532 1.90768
8542 1.98503
8552 1.9675
8562 1.97012
8572 1.95795
8582 1.80144
8592 2.09761
8602 2.0182
8612 1.9133
8622 1.96059
8632 1.98542
8642 1.9653
8652 1.90256
8662 2.00102
8672 2.06039
8682 2.05901
8692 1.95942
8702 1.99682
8712 1.79403
8722 1.89792
8732 1.98611
8742 1.90256
8752 2.1309
8762 1.99469
8772 2.0106
8782 1.95538
8792 2.07415
8802 1.99054
8812 2.05864
8822 2.11477
8832 2.01273
8842 1.97961
8852 1.99792
8862 1.83716
8872 1.98119
8882 2.01793
8892 1.98113
8902 1.99791
8912 2.00403
8922 1.97508
8932 1.88634
8942 1.92185
8952 1.66205
8962 1.86414
8972 1.95138
8982 2.0029
8992 2.02667
9002 2.00687
9012 1.97598
9022 1.99902
9032 1.71113
9042 2.06088
9052 1.98379
9062 2.00823
9072 2.00925
9082 2.06346
9092 1.97848
9102 2.00719
9112 0.944395
9122 2.01503
9132 2.12965
9142 2.08569
9152 1.97169
9162 1.99697
9172 1.92093
9182 2.0061
9192 2.00508
9202 1.99899
9212 1.88034
9222 2.12774
9232 1.96241
9242 2.00098
9252 1.93268
9262 2.04335
9272 2.00602
9282 2.001
9292 1.84111
9302 2.10294
9312 1.99405
9322 2.01887
9332 1.92809
9342 2.0509
9352 1.98298
9362 2.00599
9372 1.9679
9382 1.98914
9392 1.9803
9402 1.95731
9412 1.9375
9422 2.03268
9432 2.07721
9442 2.02529
9452 2.01881
9462 1.88826
9472 2.03184
9482 2.01207
9492 1.95594
9502 1.90459
9512 1.8978
9522 1.99455
9532 1.95819
9542 1.89928
9552 1.98525
9562 1.96926
9572 1.91316
9582 1.84034
9592 2.09258
9602 2.03568
9612 1.99339
9622 1.88746
9632 2.08883
9642 1.95054
9652 1.91378
9662 1.97089
9672 1.96714
9682 1.96689
9692 1.85103
9702 1.9304
9712 1.9326
9722 2.1434
9732 1.99526
9742 1.97814
9752 1.91805
9762 2.07538
9772 2.00381
9782 2.00381
9792 1.84814
9802 2.02168
9812 1.97826
9822 2.00664
9832 1.97352
9842 2.05194
9852 2.01231
9862 2.00851
9872 2.03774
9882 1.98115
9892 1.98206
9902 2.08365
9912 1.96501
9922 1.90261
9932 2.07397
9942 1.99726
9952 1.96706
9962 2.06761
9972 1.98969
9982 2.01123
9992 1.79125
10002 1.8665
12002 2.00999
14002 1.97776
16002 1.98331
18002 2.00356
20002 2.02486
22002 1.60554
24002 1.99963
26002 1.92699
28002 2.01101
30002 1.05431
32002 1.05044
34002 2.05941
36002 2.07044
38002 2.01481
40002 1.98231
42002 2.01105
44002 1.99205
46002 2.18767
48002 1.90747
50002 2.03406
52002 2.02571
54002 2.73865
56002 2.1311
58002 2.02172
60002 2.02088
62002 2.02511
64002 2.00434
66002 2.04938
68002 2.0578
70002 2.02854
72002 1.98731
74002 1.84098
76002 2.04581
78002 1.88459
80002 2.04766
82002 1.98949
84002 2.01665
86002 1.27414
88002 1.99939
90002 2.07239
92002 1.99892
94002 2.01627
96002 1.88563
98002 2.03235
100002 1.88997
110002 1.90009
120002 1.44911
130002 2.03676
140002 2.14901
150002 2.01683
160002 2.04409
170002 1.78397
180002 1.69725
190002 2.23049
200002 1.9529
210002 1.97291
220002 2.04288
230002 1.97205
240002 2.04644
250002 2.03791
260002 1.68573
270002 2.01867
280002 1.9927
290002 1.91169
300002 2.20202
310002 1.99842
320002 1.97548
330002 1.77659
340002 2.07579
350002 2.24061
360002 2.16314
370002 2.19071
380002 1.99029
390002 1.87489
400002 2.21189
410002 2.07741
420002 2.27889
430002 2.3013
440002 2.24213
450002 2.36582
460002 1.95473
470002 1.85622
480002 2.05594
490002 2.15295
500002 2.13058
510002 2.00087
520002 2.10947
530002 2.37127
540002 1.96939
550002 2.12465
560002 2.079
570002 2.21249
580002 2.11682
590002 1.95681
600002 2.04395
610002 1.92612
620002 2.11817
630002 1.75863
640002 2.05053
650002 2.1685
660002 2.09815
670002 1.9975
680002 2.00539
690002 2.07184
700002 1.96072
710002 2.04862
720002 2.25874
730002 2.0359
740002 1.88198
750002 2.2268
760002 2.13389
770002 2.12645
780002 2.08609
790002 2.15645
800002 2.17294
810002 2.16595
820002 2.17674
830002 2.28458
840002 2.15679
850002 2.21151
860002 2.09032
870002 1.90408
880002 2.03212
890002 2.06668
900002 2.04395
910002 2.10382
920002 2.03016
930002 1.9595
940002 1.76849
950002 2.21645
960002 1.8646
970002 2.0768
980002 2.06155
990002 2.16225
1000002 2.0855
1100002 2.15369
1200002 2.03874
1300002 2.0772
1400002 2.25553
1500002 2.17365
1600002 2.18519
1700002 2.29009
1800002 2.20635
1900002 2.2091
2000002 2.26996
2100002 2.3838
2200002 2.22254
2300002 2.19736
2400002 2.11359
2500002 2.25569
2600002 2.3708
2700002 2.27203
2800002 2.27687
2900002 2.18096
3000002 2.31429
3100002 2.39169
3200002 2.12866
3300002 2.20996
3400002 2.27906
3500002 2.26431
3600002 2.28672
3700002 2.29174
3800002 2.33759
3900002 2.28188
4000002 2.26063
4100002 2.26234
4200002 2.29836
4300002 2.37797
4400002 2.29678
4500002 2.32198
4600002 2.3584
4700002 2.29101
4800002 2.24898
4900002 2.35124
5000002 2.32917
5100002 2.27799
5200002 2.3094
5300002 2.29507
5400002 2.33579
5500002 2.34438
5600002 2.4204
5700002 2.37894
5800002 2.37179
5900002 2.32159
6000002 2.36169
6100002 2.23328
6200002 2.21498
6300002 2.39175
6400002 2.35385
6500002 2.20317
6600002 2.3511
6700002 2.33663
6800002 2.35525
6900002 2.348
7000002 2.35462
7100002 2.34522
7200002 2.38676
7300002 2.34934
7400002 2.30044
7500002 2.28637
7600002 2.3004
7700002 2.31884
7800002 2.28904
7900002 2.08159
8000002 2.23413
8100002 2.24674
8200002 2.26854
8300002 2.31946
8400002 2.26067
8500002 2.27437
8600002 2.32278
8700002 2.18885
8800002 2.27018
8900002 2.29018
9000002 2.23328
9100002 2.24596
9200002 2.26601
9300002 2.17687
9400002 2.21006
9500002 2.23764
9600002 2.22858
9700002 2.27323
